EC number	KO
3.4.23.49	K01355
3.4.21.88	K01356
3.4.21.92	K01358
3.4.21.93	K01359
3.4.21.94	K01360
3.4.21.96	K01361
3.4.22.1	K01363
3.4.22.10	K01364
3.4.22.15	K01365
3.4.22.16	K01366
3.4.22.52	K01367
3.4.22.27	K01368
3.4.22.34	K01369
3.4.22.36	K01370
3.4.22.38	K01371
3.4.22.40	K01372
3.4.22.41	K01373
3.4.22.42	K01374
3.4.22.43	K01375
3.4.23.3	K01377
3.4.23.4	K01378
3.4.23.5	K01379
3.4.23.15	K01380
3.4.23.25	K01381
3.4.23.34	K01382
3.4.23.35	K01383
3.4.23.42	K01385
3.4.23.23	K01386
3.4.24.3	K01387
3.4.24.7	K01388
3.4.24.11	K01389
3.4.24.13	K01390
3.4.24.15	K01392
3.4.24.16	K01393
3.4.24.17	K01394
3.4.24.18	K01395
3.4.24.22	K01396
3.4.24.23	K01397
3.4.24.24	K01398
3.4.24.26	K01399
3.4.24.28	K01400
3.4.24.29	K01401
3.4.24.34	K01402
3.4.24.35	K01403
3.4.24.36	K01404
3.4.24.37	K01405
3.4.24.40	K01406
3.4.24.55	K01407
3.4.24.56	K01408
2.3.1.234	K01409
3.4.24.59	K01410
3.4.24.61	K01411
3.4.24.64	K01412
3.4.24.65	K01413
3.4.24.70	K01414
3.4.24.71	K01415
3.4.24.77	K01416
3.4.25.2	K01419
3.5.1.1	K01424
3.5.1.2	K01425
3.5.1.4	K01426
3.5.1.5	K01427
3.5.1.6	K01431
3.5.1.9	K01432
